minimum	support

chief	accountant
chief	economist
chief	executive
chief	general
chief	officer

chief	agent
chief	magistrate
chief	nominee
chief	negotiator
chief	monk
chief	diplomat
chief	monitor
chief	coach
chief	contact
chief	inspector
chief	legislator
chief	rabbi
chief	deputy
chief	photographer
chief	mediator
chief	professor
chief	caretaker
chief	lobbyist
chief	cook
chief	commander
chief	organizer
chief	offender
chief	competitor
chief	supervisor
chief	speechwriter
chief	judge
chief	assassin
chief	procurator
chief	chairman
chief	auditor
chief	correspondent
chief	environmentalist
chief	torturer
chief	rival
chief	joker
chief	hostage

head	trader

key	area
key	figure
key	issue
key	member
key	player
key	project
key	rate

mass	action
mass	appeal
mass	arrest
mass	audience
mass	campaign
mass	communication
mass	demonstration
mass	deportation
mass	destruction
mass	execution
mass	exodus
mass	extinction
mass	gathering
mass	grave
mass	hysteria
mass	immigration
mass	killing
mass	layoff
mass	market
mass	medium
mass	movement
mass	murderer
mass	organization
mass	production
mass	program
mass	protest
mass	rally
mass	resignation
mass	shooting
mass	suicide
mass	unemployment
mass	weapon
mass	merchandiser
mass	shipment
mass	transit

core	activity
core	area
core	audience
core	belief
core	capital
core	constituency
core	curriculum
core	division
core	earnings
core	group
core	holding
core	inflation
core	issue
core	market
core	member
core	operation
core	price
core	principle
core	problem
core	product
core	rate
core	sample
core	shareholder
core	supporter
core	technology
core	value
core	voter

core	smoker
core	system
core	document
core	exerciser
core	exhibit
core	feminist
core	radical
core	birder
core	revenue
core	economics
core	force
core	gambling
core	dollar
core	folks
core	drilling
core	killer
core	focus
core	professional
core	governance
core	function
core	matter
core	commitment
core	sales
core	juvenile
core	operations
core	faithful
core	enthusiast
core	banks
core	patriot
core	variety
core	fiber
core	microprocessor
core	liberal
core	sexuality
core	atheist
core	construction
core	shooting
core	planning
core	movement
core	opponent
core	gunfight
core	shaft
core	conservative
core	hanger
core	hospital
core	repeater
core	information
core	vet
core	client
core	toy
core	friend
core	baseball
core	law
core	lad
core	department
core	rap
core	pay
core	pro
core	tax
core	rot
core	sex
core	set
core	fan
core	innocence
core	foe
core	tradition
core	day
core	job
core	complaint
core	sampling
core	kid
core	appendage
core	hip
core	gun
core	guy
core	cyclist
core	criminal
core	flick
core	flier
core	margin
core	act
core	works
core	car
core	obscenity
core	sailor
core	decision
core	concert
core	funds
core	hobbyist
core	credits
core	murderer
core	negotiation
core	critic
core	opportunity
core	alarmist
core	meaning
core	mountain
core	homeless
core	personnel
core	profit
core	lover
core	benefit
core	athlete
core	angler
core	performance
core	expert
core	deposit
core	cleric
core	carver
core	musician
core	cartel
core	prisoner
core	substance
core	malefactor
core	profanity
core	violence
core	objective
core	snowboarder
core	soldier
core	spectator
core	erotica
core	separation
core	separatist
core	aficionado
core	rapper
core	obsessive
core	allegation
core	classic
core	agenda
core	agency
core	golfer
core	constituent
core	attribute
core	stability
core	violator
core	gaming

mainstream	audience
mainstream	faction
mainstream	politician
mainstream	press
mainstream	group
mainstream	culture
