13867	"PTB_WSJ"	"Wright"	"aide"	15	18	12405		
13324	"PTB_WSJ"	"his"	"aides"	18	20	97		
13325	"PTB_WSJ"	"his"	"aides"	6	7	7629		
13326	"PTB_WSJ"	"his"	"aides"	12	13	34624		
13327	"PTB_WSJ"	"his"	"aides"	4	5	34626		
13328	"PTB_WSJ"	"his"	"aides"	9	10	34629		
13329	"PTB_WSJ"	"his"	"aides"	9	10	37934		
							
22049	"HDFRE"	"his"	"lieutenant"	16	17	2049	"With the venerable proconsul , his son , who had accompanied him into Africa as <b>his</b> <b>lieutenant</b> , was likewise declared emperor . "	
22740	"HDFRE"	"his"	"lieutenant"	40	42	2740	"Gallus , who , careless of the general welfare , indulged himself in the pleasures of Italy , was almost in the same instant informed of the success , of the revolt , and of the rapid approach of <b>his</b> aspiring <b>lieutenant</b> . "	
22070	"HDFRE"	"your"	"lieutenant"	28	29	2070	"`` Conscript fathers , '' said the consul Syllanus , `` the two Gordians , both of consular dignity , the one your proconsul , the other <b>your</b> <b>lieutenant</b> , have been declared emperors by the general consent of Africa . "	
22811	"HDFRE"	"emperor"	"lieutenants"	31	33	2811	"We may , however , with great probability , ascribe this incredible victory either to the credulity of the historian , or to some exaggerated exploits of one of the <b>emperor</b> 's <b>lieutenants</b> . "	
20930	"HDFRE"	"his"	"lieutenants"	35	36	930	"They exaggerated the hardships and dangers of a campaign in the wild countries beyond the Danube ; and they assured the indolent prince that the terror of his name , and the arms of <b>his</b> <b>lieutenants</b> , would be sufficient to complete the conquest of the dismayed barbarians , or to impose such conditions as were more advantageous than any conquest . "	
21433	"HDFRE"	"his"	"lieutenants"	5	6	1433	"Though the vigilance of <b>his</b> <b>lieutenants</b> might have been sufficient to repel the distant enemy , he resolved to embrace the honorable pretext of withdrawing his sons from the luxury of Rome , which enervated their minds and irritated their passions ; and of inuring their youth to the toils of war and government . "	
22880	"HDFRE"	"his"	"lieutenants"	9	10	2880	"Valerian flattered himself , that the vigilance of <b>his</b> <b>lieutenants</b> would sufficiently provide for the safety of the Rhine and of the Danube ; but he resolved , notwithstanding his advanced age , to march in person to the defence of the Euphrates . "	
23167	"HDFRE"	"his"	"lieutenants"	4	5	3167	"He devolved on <b>his</b> <b>lieutenants</b> the care of finishing the destruction of the Alemanni , either by the sword , or by the surer operation of famine . "	
23524	"HDFRE"	"his"	"lieutenants"	10	11	3524	"The remaining actions he intrusted to the care of <b>his</b> <b>lieutenants</b> , the judicious choice of whom forms no inconsiderable part of his glory . "	
24471	"HDFRE"	"his"	"lieutenants"	45	46	4471	"Whilst he passed his indolent life either within the walls of his palace , or in the neighboring gardens of Sallust , he was repeatedly heard to declare , that he alone was emperor , and that the other princes were no more than <b>his</b> <b>lieutenants</b> , on whom he had devolved the defence of the frontier provinces , that he might enjoy without interruption the elegant luxury of the capital . "	
20220	"HDFRE"	"their"	"lieutenants"	54	55	220	"Engaged in the pursuit of pleasure , or in the exercise of tyranny , the first C??sars seldom showed themselves to the armies , or to the provinces ; nor were they disposed to suffer , that those triumphs which their indolence neglected , should be usurped by the conduct and valor of <b>their</b> <b>lieutenants</b> . "	
							
21779	"HDFRE"	"his"	"secretaries"	45	46	1779	"Refreshed by the use of the bath and a slight dinner , he resumed , with new vigor , the business of the day ; and , till the hour of supper , the principal meal of the Romans , he was attended by <b>his</b> <b>secretaries</b> , with whom he read and answered the multitude of letters , memorials , and petitions , that must have been addressed to the master of the greatest part of the world . "	
23365	"HDFRE"	"his"	"secretaries"	6	7	3365	"He had threatened one of <b>his</b> <b>secretaries</b> who was accused of extortion ; and it was known that he seldom threatened in vain . "	
23999	"HDFRE"	"their"	"secretaries"	17	18	3999	"In pursuance of their promise , the emperors soon afterwards appointed Sicorius Probus , one of <b>their</b> <b>secretaries</b> , to acquaint the Persian court with their final resolution . "	
23381	"HDFRE"	"his"	"secretary"	4	6	3381	"The artifice of <b>his</b> perfidious <b>secretary</b> was discovered and punished . "	
23644	"HDFRE"	"his"	"secretary"	30	32	3644	"They were scarcely uttered before they were contradicted by his death ; an event attended with such ambiguous circumstances , that it may be related in a letter from <b>his</b> own <b>secretary</b> to the pr??fect of the city . "	
							
23805	"HDFRE"	"his"	"slaves"	50	51	3805	"It was very natural for the plebeians , oppressed by debt , or apprehensive of injuries , to implore the protection of some powerful chief , who acquired over their persons and property the same absolute right as , among the Greeks and Romans , a master exercised over <b>his</b> <b>slaves</b> . "	
24069	"HDFRE"	"his"	"slaves"	45	47	4069	"The epithet of Dominus , or Lord , in its primitive signification , was expressive , not of the authority of a prince over his subjects , or of a commander over his soldiers , but of the despotic power of a master over <b>his</b> domestic <b>slaves</b> . "	
20478	"HDFRE"	"their"	"slaves"	19	20	478	"* In their numerous families , and particularly in their country estates , they encouraged the marriage of <b>their</b> <b>slaves</b> . "	
20698	"HDFRE"	"their"	"slaves"	13	15	698	"Their family , however numerous or splendid , was composed entirely of <b>their</b> domestic <b>slaves</b> and freedmen . "	
21703	"HDFRE"	"their"	"slaves"	20	21	1703	"Secure of impunity , careless of censure , they lived without restraint in the patient and humble society of <b>their</b> <b>slaves</b> and parasites . "	
21999	"HDFRE"	"their"	"slaves"	34	35	1999	"He remembered , that , in his humbler fortune , he had often waited before the door of the haughty nobles of Rome , and had been denied admittance by the insolence of <b>their</b> <b>slaves</b> . "	
24796	"HDFRE"	"their"	"slaves"	23	24	4796	"The Jews , who , under the Assyrian and Persian monarchies , had languished for many ages the most despised portion of <b>their</b> <b>slaves</b> , emerged from obscurity under the successors of Alexander ; and as they multiplied to a surprising degree in the East , and afterwards in the West , they soon excited the curiosity and wonder of other nations . "	
							
20639	"HDFRE"	"his"	"soldiers"	10	11	639	"When Pompey commanded in the East , he rewarded <b>his</b> <b>soldiers</b> and allies , dethroned princes , divided kingdoms , founded colonies , and distributed the treasures of Mithridates . "	
21344	"HDFRE"	"his"	"soldiers"	75	76	1344	"It was of little moment to the provinces , under whose name they were oppressed or governed ; they were driven by the impulsion of the present power , and as soon as that power yielded to a superior force , they hastened to implore the clemency of the conqueror , who , as he had an immense debt to discharge , was obliged to sacrifice the most guilty countries to the avarice of <b>his</b> <b>soldiers</b> . "	
21377	"HDFRE"	"his"	"soldiers"	4	5	1377	"The vanity of <b>his</b> <b>soldiers</b> was flattered with the honor of wearing gold rings their ease was indulged in the permission of living with their wives in the idleness of quarters . "	
21384	"HDFRE"	"his"	"soldiers"	57	58	1384	"There is still extant a letter of Severus , lamenting the licentious stage of the army , * and exhorting one of his generals to begin the necessary reformation from the tribunes themselves ; since , as he justly observes , the officer who has forfeited the esteem , will never command the obedience , of <b>his</b> <b>soldiers</b> . "	
21803	"HDFRE"	"his"	"soldiers"	9	10	1803	"As Alexander despaired of correcting the luxury of <b>his</b> <b>soldiers</b> , he attempted , at least , to direct it to objects of martial pomp and ornament , fine horses , splendid armor , and shields enriched with silver and gold . "	
23114	"HDFRE"	"his"	"soldiers"	4	5	3114	"Aurelian expected that <b>his</b> <b>soldiers</b> should be modest , frugal , and laborous ; that their armor should be constantly kept bright , their weapons sharp , their clothing and horses ready for immediate service ; that they should live in their quarters with chastity and sobriety , without damaging the cornfields , without stealing even a sheep , a fowl , or a bunch of grapes , without exacting from their landlords , either salt , or oil , or wood . "	
23732	"HDFRE"	"his"	"soldiers"	12	13	3732	"But the advantage which Carinus had obtained by the valor of <b>his</b> <b>soldiers</b> , he quickly lost by the infidelity of his officers . "	
24068	"HDFRE"	"his"	"soldiers"	33	34	4068	"The epithet of Dominus , or Lord , in its primitive signification , was expressive , not of the authority of a prince over his subjects , or of a commander over <b>his</b> <b>soldiers</b> , but of the despotic power of a master over his domestic slaves . "	
24482	"HDFRE"	"his"	"soldiers"	76	77	4482	"Maxentius , who openly avowed his pretensions to the whole monarchy of the West , had already prepared a very considerable force to invade the Gallic provinces on the side of Rh??tia ; and though he could not expect any assistance from Licinius , he was flattered with the hope that the legions of Illyricum , allured by his presents and promises , would desert the standard of that prince , and unanimously declare themselves <b>his</b> <b>soldiers</b> and subjects . "	
23343	"HDFRE"	"my"	"soldiers"	11	12	3343	"They are at length suppressed ; but seven thousand of <b>my</b> <b>soldiers</b> have been slain in the contest , of those troops whose ordinary station is in Dacia , and the camps along the Danube . '' "	
							
20432	"HDFRE"	"her"	"subjects"	8	9	432	"Rome gradually became the common temple of <b>her</b> <b>subjects</b> ; and the freedom of the city was bestowed on all the gods of mankind . "	
23245	"HDFRE"	"her"	"subjects"	22	23	3245	"She blended with the popular manners of Roman princes the stately pomp of the courts of Asia , and exacted from <b>her</b> <b>subjects</b> the same adoration that was paid to the successor of Cyrus . "	
