0	"PTB_WSJ"	"hour"	"drive"	31	29	32717		
1	"PTB_WSJ"	"week"	"worth"	19	21	4612		
2	"PTB_WSJ"	"day"	"action"	18	20	14934		
3	"PTB_WSJ"	"days"	"supply"	9	11	8246		
4	"PTB_WSJ"	"days"	"production"	19	21	27704		
							
5	"JB"	"day"	"rest"	21	23	0	"It was seven o'clock of a very warm evening in the Seeonee hills when Father Wolf woke up from his <b>day</b> 's <b>rest</b> , scratched himself , yawned , and spread out his paws one after the other to get rid of the sleepy feeling in their tips . "	
6	"JB"	"months"	"rest"	22	24	1755	"Limmershin gave a long list of them , for he said that Kotick spent five seasons exploring , with a four <b>months</b> ' <b>rest</b> each year at Novastoshnah , when the holluschickie used to make fun of him and his imaginary islands . "	
7	"JB"	"night"	"journey"	6	8	811	"`` It is half a <b>night</b> 's <b>journey</b> -- at full speed , '' said Bagheera , and Baloo looked very serious . "	
8	"JB"	"hours"	"work"	11	13	2293	"There was a bazaar close by , and only three <b>hours</b> ' <b>work</b> a day . '' "	
9	"JB"	"night"	"work"	5	7	42	"`` To begin a <b>night</b> 's <b>work</b> with that noise ! "	
10	"JB"	"day"	"work"	17	19	1738	"They told him that men had always driven the holluschickie -- it was part of the <b>day</b> 's <b>work</b> -- and that if he did not like to see ugly things he should not have gone to the killing grounds . "	
11	"JB"	"day"	"work"	31	33	2226	"Rikki-tikki curled himself up in the grass and slept where he was -- slept and slept till it was late in the afternoon , for he had done a hard <b>day</b> 's <b>work</b> . "	
12	"JB"	"second"	"purchase"	6	8	2074	"This gave him just one <b>second</b> 's <b>purchase</b> , and he made the most of it . "	
13	"JB"	"instant"	"delay"	4	6	2213	"Still , the <b>instant</b> 's <b>delay</b> brought Rikki-tikki up to her , and as she plunged into the rat-hole where she and Nag used to live , his little white teeth were clenched on her tail , and he went down with her -- and very few mongooses , however wise and old they may be , care to follow a cobra into its hole . "	
							
22347	"HDFRE"	"years"	"tranquillity"	3	5	2347	"A forty <b>years</b> ' <b>tranquillity</b> , the fruit of valor and moderation , had succeeded the victories of Trajan . "	
							
23013	"HDFRE"	"moment"	"delay"	26	28	3013	"The death of Gallienus was resolved ; and notwithstanding their desire of first terminating the siege of Milan , the extreme danger which accompanied every <b>moment</b> 's <b>delay</b> obliged them to hasten the execution of their daring purpose . "	
23299	"HDFRE"	"moment"	"deliberation"	3	5	3299	"Without a <b>moment</b> 's <b>deliberation</b> , he once more turned his face towards Syria . "	
22877	"HDFRE"	"years"	"war"	8	10	2877	"Invincible in arms , during a thirty <b>years</b> ' <b>war</b> , he was at length assassinated by the emissaries of Sapor , king of Persia . "	
23130	"HDFRE"	"years"	"war"	17	19	3130	"Exhausted by so many calamities , which they had mutually endured and inflicted during a twenty <b>years</b> ' <b>war</b> , the Goths and the Romans consented to a lasting and beneficial treaty . "	
21619	"HDFRE"	"years"	"favor"	14	16	1619	"She retired to Emesa with an immense fortune , the fruit of twenty <b>years</b> ' <b>favor</b> accompanied by her two daughters , So??mias and Mam?? , each of whom was a widow , and each had an only son . "	
							
22241	"HDFRE"	"moment"	"pause"	3	5	2241	"After a <b>moment</b> 's <b>pause</b> , the inhuman sentence was executed . "	
21799	"HDFRE"	"days"	"provision"	12	14	1799	"In their marches he relaxed the severe obligation of carrying seventeen <b>days</b> ' <b>provision</b> on their shoulders . "	
							
3643	"JB"	"pounds"	"weight"	8	10	2266	"He had carried tents , twelve hundred <b>pounds</b> ' <b>weight</b> of tents , on the march in Upper India . "	

