1033	"PTB_WSJ"	"man"	"widow"	8	10	28646		
1034	"PTB_WSJ"	"founder"	"wife"	8	10	31092		
1035	"PTB_WSJ"	"his"	"wife"	67	69	913		
1036	"PTB_WSJ"	"his"	"wife"	11	13	932		
1037	"PTB_WSJ"	"his"	"wife"	3	5	933		
1038	"PTB_WSJ"	"his"	"wife"	23	24	4784		
1039	"PTB_WSJ"	"his"	"wife"	12	13	6145		
1040	"PTB_WSJ"	"his"	"wife"	38	39	6172		
1041	"PTB_WSJ"	"his"	"wife"	20	21	6873		
1042	"PTB_WSJ"	"his"	"wife"	15	17	8576		
1043	"PTB_WSJ"	"his"	"wife"	2	3	10679		
1044	"PTB_WSJ"	"his"	"wife"	9	10	10685		
1045	"PTB_WSJ"	"his"	"wife"	5	6	10706		
1046	"PTB_WSJ"	"his"	"wife"	13	14	12419		
1047	"PTB_WSJ"	"his"	"wife"	27	28	12729		
1048	"PTB_WSJ"	"his"	"wife"	18	19	17389		
1049	"PTB_WSJ"	"his"	"wife"	6	7	17405		
1050	"PTB_WSJ"	"his"	"wife"	9	10	22934		
1051	"PTB_WSJ"	"his"	"wife"	20	21	24172		
1052	"PTB_WSJ"	"his"	"wife"	4	5	26039		
1053	"PTB_WSJ"	"his"	"wife"	37	38	26562		
1054	"PTB_WSJ"	"his"	"wife"	14	15	26922		
1055	"PTB_WSJ"	"his"	"wife"	32	33	27859		
1056	"PTB_WSJ"	"his"	"wife"	12	13	31807		
1057	"PTB_WSJ"	"his"	"wife"	19	20	31808		
1058	"PTB_WSJ"	"his"	"wife"	8	9	35092		
1059	"PTB_WSJ"	"his"	"wife"	13	15	35905		
1060	"PTB_WSJ"	"Hoffman"	"wife"	51	54	8588		
1061	"PTB_WSJ"	"my"	"wife"	12	13	26940		
1062	"PTB_WSJ"	"my"	"wife"	8	9	27908		
1063	"PTB_WSJ"	"neighbor"	"wife"	38	40	18028		
1064	"PTB_WSJ"	"president"	"wife"	21	23	35868		
1065	"PTB_WSJ"	"your"	"wife"	23	24	19807		
1066	"PTB_WSJ"	"sultan"	"wives"	17	19	7801		
1067	"PTB_WSJ"	"their"	"wives"	13	15	31809		
1068	"PTB_WSJ"	"their"	"wives"	34	35	35929		
1069	"PTB_WSJ"	"witnesses"	"wives"	88	90	35867		
1070	"PTB_WSJ"	"Chung"	"husband"	8	10	8545		
1071	"PTB_WSJ"	"Coleman"	"husband"	2	4	22942		
1072	"PTB_WSJ"	"her"	"husband"	13	15	1431		
1073	"PTB_WSJ"	"her"	"husband"	9	10	3996		
1074	"PTB_WSJ"	"her"	"husband"	4	6	8213		
1075	"PTB_WSJ"	"her"	"husband"	8	9	8216		
1076	"PTB_WSJ"	"her"	"husband"	25	28	10656		
1077	"PTB_WSJ"	"her"	"husband"	12	13	10687		
1078	"PTB_WSJ"	"her"	"husband"	2	3	10689		
1079	"PTB_WSJ"	"her"	"husband"	16	17	10690		
1080	"PTB_WSJ"	"her"	"husband"	10	11	10696		
1081	"PTB_WSJ"	"her"	"husband"	50	52	12451		
1082	"PTB_WSJ"	"her"	"husband"	16	17	21564		
1083	"PTB_WSJ"	"Her"	"husband"	1	2	22246		
1084	"PTB_WSJ"	"her"	"husband"	21	22	22251		
1085	"PTB_WSJ"	"her"	"husband"	19	21	22309		
1086	"PTB_WSJ"	"her"	"husband"	2	3	22319		
1087	"PTB_WSJ"	"her"	"husband"	2	3	22596		
1088	"PTB_WSJ"	"her"	"husband"	13	14	28649		
1089	"PTB_WSJ"	"her"	"husband"	32	33	30900		
1090	"PTB_WSJ"	"her"	"husband"	4	5	33261		
1091	"PTB_WSJ"	"her"	"husband"	16	17	33284		
1092	"PTB_WSJ"	"her"	"husband"	18	19	37622		
1093	"PTB_WSJ"	"her"	"husband"	3	4	39000		
1094	"PTB_WSJ"	"My"	"husband"	2	3	12444		
1095	"PTB_WSJ"	"whose"	"husband"	6	7	10757		
1096	"PTB_WSJ"	"their"	"husbands"	9	10	27185		
1097	"PTB_WSJ"	"her"	"daughter"	34	35	13065		
1098	"PTB_WSJ"	"her"	"daughter"	9	10	22927		
1099	"PTB_WSJ"	"her"	"daughter"	3	4	37622		
1100	"PTB_WSJ"	"His"	"daughter"	1	2	11652		
1101	"PTB_WSJ"	"his"	"daughter"	20	21	11906		
1102	"PTB_WSJ"	"my"	"daughter"	7	8	14195		
1103	"PTB_WSJ"	"My"	"daughter"	1	3	31456		
1104	"PTB_WSJ"	"her"	"daughters"	8	9	31124		
1105	"PTB_WSJ"	"their"	"daughters"	10	11	34342		
1106	"PTB_WSJ"	"their"	"daughters"	17	18	35941		
1107	"PTB_WSJ"	"colleagues"	"children"	11	13	10895		
1108	"PTB_WSJ"	"her"	"children"	34	35	15321		
1109	"PTB_WSJ"	"her"	"children"	40	41	35051		
1110	"PTB_WSJ"	"his"	"children"	11	12	2002		
1111	"PTB_WSJ"	"his"	"children"	17	18	13203		
1112	"PTB_WSJ"	"its"	"children"	4	5	10861		
1113	"PTB_WSJ"	"our"	"children"	62	63	20398		
1114	"PTB_WSJ"	"our"	"children"	13	14	20421		
1115	"PTB_WSJ"	"Thatcher"	"children"	10	12	11316		
1116	"PTB_WSJ"	"their"	"children"	6	7	9410		
